Asset Type,JP,EN,Don Miguel,Don Miguel Extras
Backdrop,ダンジョン1,Dungeon1,Cave1,
,ダンジョン2,Dungeon2,LavaCave2,
,ダンジョン3,Dungeon3,IceCave3,
,ダンジョン4,Dungeon4,Cave4,
,ダンジョン5,Dungeon5,BrickCave5,
,宇宙,Space,Galaxy,
,山道,MountainPath,Canyon,
,岩場,RockyArea,SnowCanyon,
,廃墟,Ruins,WasteRuins,
,森1,Forest1,Forest1,
,森2,Forest2,Forest2,
,橋,Bridge,Bridge,
,毒沼,PoisonSwamp,Swamp,
,海,Sea,Sea,
,玉座,Throne,Castle,
,異空間,StrangeSpace,LightSpeed,
,砂浜,SandyBeach,SeaBeach,
,砂漠,Desert,Desert,
,神殿,Shrine,Greece,
,空,Sky,Sky,
,船上,ShipDeck,Ship,
,草原,Grassland,Grass,
,荒地,Wasteland,WasteLand,
,街中,Downtown,Town,
,雪原,Snowfield,Snow,
,,,,cave9
,,,,dark3
,,,,desert5
,,,,dungeon1
,,,,dungeon2
,,,,falls2
,,,,forest4
,,,,future1
,,,,future3
,,,,mtn4
,,,,nBridge
,,,,plainsG
,,,,ship1
,,,,underw1
Battle,その他,Other,Etc,
,バリア,Barrier,Barrier,
,ブレス,Breath,Poison,
,上昇,Buff,Up,
,下降,Debuff,Down,
,冷気,Ice,Cold,
,剣1,Sword1,Sword1,
,剣2,Sword2,Sword2,
,吸収,Bite,Absorption,
,回復,Recovery,Sun,
,大地,Earth,Earth,
,打撃,Blow,Hit,
,斧,Axe,Axe,
,暗黒,Dark,Dark,
,槍,Spear,Spear,
,水,Water,Water,
,治療,Treatment,Sphere,
,炎1,Fire1,Fire1,
,炎2,Fire2,Fire2,
,爆発,Explosion,Explosion,
,爪,Claw,Fang,
,矢,Arrow,Arrow,
,神聖,Holy,Holy,
,蘇生,Ressurection,Ray,
,雷,Thunder,Zip,
,鞭,Whip,Whip,
,風,Wind,Wind,
,麻痺,Paralysis,Paralysis,
,,,,enemyhp
,,,,qande
Charset,オブジェクト1,Object1,Object1,
,オブジェクト2,Object2,Object2,
,モンスター1,Monster1,Monster1,
,モンスター2,Monster2,Monster2,
,一般1,People1,People1,
,一般2,People2,People7,
,一般3,People3,People3,
,一般4,People4,People4,
,一般5,People5,People5,
,主人公1,Actor1,Chara1,
,主人公2,Actor2,Chara2,
,主人公3,Actor3,Chara3,
,主人公4,Actor4,Chara4,
,乗り物,Vehicles,Vehicle,
,動物,Animal,Animal,
,,,Chubby1,
,,,Chubby2,
,,,Crown1,
,,,Crown2,
,,,Crown3,
,,,Crown4,
,,,Crown5,
,,,Crown6,
,,,Crown7,
,,,Future1,
,,,Future2,
,,,Future3,
,,,Men1,
,,,Women1,
,,,,actraiser3.1
,,,,african
,,,,alex
,,,,alien3
,,,,alien4
,,,,angel
,,,,arquivo-x
,,,,bahamut_lagoon
,,,,bartender
,,,,bloodydoors
,,,,brats01
,,,,breathoffire4
,,,,brian
,,,,chara01
,,,,chara02
,,,,chara03
,,,,chara04
,,,,chara05
,,,,chara06
,,,,chara07
,,,,chara08
,,,,chara09
,,,,chara10
,,,,chara11
,,,,chara12
,,,,chara13
,,,,chara14
,,,,chara15
,,,,chara16
,,,,chara6gold
,,,,charaa1
,,,,charaa2
,,,,chara_c1
,,,,chara_c2
,,,,chara_h_9
,,,,chara_misc_1
,,,,chubby2b
,,,,crosshairandtargets
,,,,crystals
,,,,ctchar
,,,,ctportal
,,,,dbz_chara1
,,,,dbz_chara2
,,,,dbz_orig1
,,,,don_chara1
,,,,don_collection_10
,,,,don_collection_11
,,,,don_collection_12
,,,,don_collection_13
,,,,don_collection_14
,,,,don_collection_15
,,,,don_collection_16
,,,,don_collection_17
,,,,don_collection_18
,,,,don_collection_19
,,,,don_collection_1
,,,,don_collection_20
,,,,don_collection_21
,,,,don_collection_22
,,,,don_collection_23
,,,,don_collection_24
,,,,don_collection_25
,,,,don_collection_26
,,,,don_collection_27
,,,,don_collection_28
,,,,don_collection_2
,,,,don_collection_3
,,,,don_collection_4
,,,,don_collection_5
,,,,don_collection_6
,,,,don_collection_7
,,,,don_collection_8
,,,,don_collection_9
,,,,don_collection_mm
,,,,don_fish
,,,,don_pikachuu
,,,,don_pokeballz
,,,,don_xfiles
,,,,earthbound1
,,,,earthbound2
,,,,earthbound3
,,,,earthboundsheet
,,,,edit1
,,,,egyptian
,,,,eskimo
,,,,evil1
,,,,expression
,,,,ff3_soldiers
,,,,ff7_chara1
,,,,ff83
,,,,ff9chara
,,,,fft_archers
,,,,fft_thieves
,,,,flags_n_chests
,,,,free01
,,,,free02
,,,,free03
,,,,free04
,,,,future_soldiers1
,,,,fx_chara16
,,,,gohanssj1-2
,,,,goldendoors
,,,,greece
,,,,houshin5
,,,,illustset1
,,,,islander
,,,,items_1
,,,,items_2
,,,,items_3
,,,,link
,,,,linofull
,,,,mario
,,,,megaman1
,,,,minato_c
,,,,mk
,,,,mohawk
,,,,newaya
,,,,object3
,,,,object6
,,,,object9
,,,,objecta
,,,,objectb
,,,,objectc
,,,,objectd
,,,,objecte
,,,,objectf
,,,,objectg
,,,,objecth
,,,,objecti
,,,,objectj
,,,,objectk
,,,,objectl
,,,,objects3
,,,,omek
,,,,patrick
,,,,pirate
,,,,pose19
,,,,pose2
,,,,pose3
,,,,pose
,,,,poses_kirby_dolphin
,,,,pw_chara
,,,,robot
,,,,robots1
,,,,rolf'sarmy1
,,,,rolf'sarmy2
,,,,rs3_1
,,,,sailormoon1
,,,,savepoint
,,,,set_ggi1
,,,,set_hei1
,,,,set_ipa1
,,,,set_ipa2
,,,,set_ken1
,,,,set_mon1
,,,,simchara
,,,,simpsons
,,,,slime1
,,,,slime2
,,,,soldiers_brats
,,,,soldiers
,,,,sparkleitems_1
,,,,sparkleitems_2
,,,,sparkleitems_3
,,,,sparkleitems_4
,,,,ss4gku_futrbulma
,,,,staroc1
,,,,starwar1
,,,,starwar2
,,,,sv
,,,,tenchi
,,,,torch_1
,,,,torch
,,,,treasure
,,,,vegetable
,,,,vehicle3
,,,,window
,,,,wizard
,,,,x-files_lh
,,,,xfmainchars2
,,,,xfmainchars
,,,,xmas_chara1
,,,,x-men-movie
,,,,zlightup
Chipset,ダンジョン,Dungeon,Dungeon,
,内装,Interior,Inner,
,基本,World,Basis,
,外観,Exterior,Outline,
,船,Ship,Ship,
,,,ChipSet1,
,,,ChipSet2,
,,,ChipSet3,
,,,,2ktownset
,,,,3d_castl
,,,,3d_inner
,,,,3d_town
,,,,3d_town_
,,,,airship1
,,,,airship2
,,,,airship4
,,,,air_ship
,,,,army
,,,,bof22_b
,,,,bof22
,,,,bof2
,,,,bof
,,,,boxing_r
,,,,casino
,,,,castle_2_
,,,,castle
,,,,chipset10
,,,,chipset11b
,,,,chipset11
,,,,chipset12
,,,,chipset13b
,,,,chipset13
,,,,chipset14
,,,,chipset15
,,,,chipset17
,,,,chipset18
,,,,chipset19
,,,,chipset1old
,,,,chipset_1
,,,,chipset20
,,,,chipset2old
,,,,chipset_2
,,,,chipset_3
,,,,chipset4
,,,,chipset5b
,,,,chipset5c
,,,,chipset5
,,,,chipset6b
,,,,chipset6c
,,,,chipset6
,,,,chipset7
,,,,chipset8
,,,,chipset9
,,,,chronohouses
,,,,darktown
,,,,darkworld
,,,,dumalchipset01
,,,,dungeon2
,,,,dw3
,,,,earthboundchips_2
,,,,earthboundchips
,,,,ebchip_00
,,,,ebinnerchips
,,,,ff62
,,,,ff6_airship
,,,,ff6_inner
,,,,ff6
,,,,ff6_town
,,,,forest
,,,,forest_t
,,,,future_i
,,,,future_w
,,,,golden1
,,,,grey_cas
,,,,hell
,,,,house2
,,,,house3
,,,,house4
,,,,house5
,,,,house
,,,,japanese_town
,,,,lufia2_b
,,,,lufia2_d
,,,,lufia2_house
,,,,lufia2
,,,,lufia2_t
,,,,map_town01
,,,,minato1
,,,,modern2
,,,,modern3
,,,,modern_b
,,,,modern_c
,,,,modern
,,,,modern_world
,,,,modified
,,,,outcastle
,,,,phantasystar
,,,,pocket_m
,,,,pokemontiles
,,,,ps4
,,,,robotrektown
,,,,rs3
,,,,school_chipset
,,,,sd3_b
,,,,sd3_c
,,,,sd3_d
,,,,sd3
,,,,sompalace2
,,,,sompalace
,,,,som
,,,,space
,,,,suik2heroshouse
,,,,suik2house
,,,,suik2inside
,,,,suik2kyaroinside
,,,,suik2kyaro
,,,,terranig
,,,,topcity
,,,,top-totus
,,,,town_21
,,,,town2
,,,,town3
,,,,town4
,,,,townset_greg
,,,,underground
,,,,village3
,,,,village
,,,,white
,,,,woods
,,,,world2
,,,,world
,,,,xfileschipset1
,,,,zelda3_b
,,,,zelda3_d
,,,,zelda3
,,,,zeldadw
FaceSet,モンスター,Monster,Monsters,
,一般1,People1,People1,
,一般2,People2,People2,
,主人公1,Actor1,Chara1,
,主人公2,Actor2,Chara2,
,,,Face1,
,,,Face2,
,,,Face3,
,,,Face4,
,,,,anime3
,,,,atelier_b
,,,,atelier
,,,,bof2
,,,,bulma
,,,,ccfaces1
,,,,ccfaces2
,,,,ccfaces3
,,,,cc
,,,,ch01_all
,,,,chrono_face
,,,,cool
,,,,ct2
,,,,dbz_b
,,,,dbz_c
,,,,dbz_face_1
,,,,dbz_face1
,,,,dbzface1
,,,,dbz_face_2
,,,,dbz_face_3
,,,,dbz
,,,,don_faces1
,,,,don_faces2
,,,,ebfacesx1
,,,,expresion
,,,,expression4
,,,,expression5
,,,,expression6
,,,,expression7_b
,,,,expression7
,,,,expression
,,,,face002
,,,,face01
,,,,face03
,,,,ff4
,,,,ff6_b
,,,,ff7face
,,,,ff7
,,,,ff8_b
,,,,ff8
,,,,ff92
,,,,ff9faceset
,,,,ff9
,,,,fire_emblem_b
,,,,fire_emblem_c
,,,,fire_emblem
,,,,hourai
,,,,image1
,,,,item_b
,,,,item_c
,,,,item
,,,,kof
,,,,langrissa_b
,,,,langrissa
,,,,lodfaces
,,,,lom_b
,,,,lom_c
,,,,lom
,,,,marvel
,,,,medieval2
,,,,medieval
,,,,megaman(face)
,,,,mm2
,,,,monster2
,,,,piccoloface
,,,,pokeface
,,,,pokemon_2
,,,,pokemon2
,,,,ranmaface
,,,,sailorfaces1
,,,,sailor
,,,,samurai_spirit4_b
,,,,samurai_spirit4
,,,,slayers_face_0
,,,,slayers_face_1
,,,,sonicface1
,,,,sonicface2
,,,,sonicface3
,,,,srm95
,,,,staroceanface
,,,,star_wars_b
,,,,star_wars
,,,,suikoden_b
,,,,suikoden_c
,,,,suikoden
,,,,teikyou_b
,,,,teikyou
,,,,top
,,,,xenogears_b
,,,,xenogears_c
,,,,xenogears_d
,,,,xenogears
,,,,xeno
,,,,zelda64
GameOver,ゲームオーバー,Game Over,GameOver,
Monster,ヴァンパイア,Vampire,Vampire,
,オーク,Orc,Hog,
,ガーゴイル,Gargoyle,Gargoyle,
,キマイラ,Chimera,Chimera,
,クラーケン,Kraken,Octopus,
,グリフォン,Griffon,Griphon,
,ケルベロス,Cerberus,HellHound,
,こうもり,Bat,Bat,
,ゴースト,Ghost,Ghost,
,ゴーレム,Golem,Golem,
,コカトリス,Cockatorice,Rooster,
,ゴブリン,Goblin,Troll,
,コボルト,Kobold,Wolfman,
,スケルトン,Skeleton,Skeleton,
,スライム,Slime,Slime,
,ゾンビ,Zombie,Zombie,
,ダークエルフ,Dark Elf,Darkelf,
,デーモン,Demon,FlyingDemon,
,ドラゴン,DragonA,GreenDragon1,
,ドラゴンナイト,Dragon Knight,DragonKnight,
,トルーパー,Knight,DarkRider,
,トレント,Treant,Oak,
,ハーピー,Harpy,Harpy,
,ヒュドラ,Hydra,Hydra,
,ブラックナイト,Black Knight,DarkKnight,
,ホーネット,Hornet,Bee,
,マーマン,Merman,Aquamen,
,マミー,Mummy,Mummy,
,ミノタウロス,Minotaur,Minotaur,
,ミミック,Mimic,OgreChest,
,メデューサ,Medusa,Medusa,
,リザードマン,Lizardman,Lizardmen,
,リッチ,Lich,DarkSpirit,
,ワーウルフ,Werewolf,Wolf,
,ワイバーン,Wyvern,BlueDragon,
,一般人1,People1,Boy1,
,一般人2,People2,Girl2,
,一般人3,People3,Boy3,
,一般人4,People4,Girl4,
,一般人5,People5,Man5,
,一般人6,People6,Girl6,
,一般人7,People7,Oldman7,
,一般人8,People8,Granny,
,使い魔,Familiar,Imp,
,兵士,Soldier,Warrior,
,大グモ,Giant Spider,Spider,
,大サソリ,Giant Scorpion,Redscorpion,
,大蛇,Snake,Snake,
,天使,Angel,Angel,
,女王,Queen,Princess,
,忍者,Ninja,Ninja,
,怪魚,Monster Fish,Fish,
,戦士1,Warrior1,Hero1,
,戦士2,Warrior2,Hero2,
,武者,Warrior,Samurai,
,死神,Reaper,Death,
,海賊,Pirate,Gnome,
,王,King,King,
,盗賊,Thief,Thief,
,鬼火,Wisp,FireScull,
,魔王,Demon Lord,CloakDemon,
,魔神,Demon God,Satan,
,魔術師1,Magician1,Witch1,
,魔術師2,Magician2,Witch2,
,龍,DragonB,GreenDragon2,
,,,,2souls
,,,,bloody_orb
,,,,damn_monkey
,,,,demon_king2
,,,,dlicker
,,,,dortylla
,,,,dragoon1
,,,,fire_fox
,,,,flaret
,,,,gekua
,,,,golem2
,,,,gugu
,,,,igogosha
,,,,kisser
,,,,ladyblue
,,,,leshi
,,,,mad_monkey
,,,,myss
,,,,napper
,,,,old_pirat
,,,,porker
,,,,pupsy
,,,,skeleton_magi
,,,,slime_death
,,,,torturle
,,,,zombie2
Movie,,,Babbit,
Music,Jアイテム,Items,Item,
,Jギャグ1,Gag1,Gag1,
,Jギャグ2,Gag2,Gag2,
,Jファンファーレ1,Fanfare1,Fanfare1,
,Jファンファーレ2,Fanfare2,Fanfare2,
,Jファンファーレ3,Fanfare3,Fanfare3,
,Jファンファーレ4,Fanfare4,Fanfare4,
,Jファンファーレ5,Fanfare5,Fanfare5,
,Jファンファーレ6,Fanfare6,Fanfare6,
,J宿1,Inn1,Inn1,
,J宿2,Inn2,Inn2,
,J戦闘終了1,BattleEnd1,BattleEnd1,
,J戦闘終了2,BattleEnd2,BattleEnd2,
,J戦闘終了3,BattleEnd3,BattleEnd3,
,J戦闘終了4,BattleEnd4,BattleEnd4,
,J疑惑,Suspicion,Doubt,
,J謎,Mystery,Riddle,
,SE地震,Earthquake,SEearthquake,
,SE大雨,Rain2,SErain2,
,SE時計,Clock,SEclock,
,SE海,Sea,SEsea,
,SE雨,Rain1,SErain,
,エンディング1,Ending1,Ending1,
,エンディング2,Ending2,Ending2,
,エンディング3,Ending3,Ending3,
,オープニング1,Opening1,Opening1,
,オープニング2,Opening2,Opening2,
,オープニング3,Opening3,Opening3,
,ゲームオーバー1,Gameover1,GameOver1,
,ゲームオーバー2,Gameover2,GameOver2,
,ゲームオーバー3,Gameover3,GameOver3,
,ゴーストタウン1,GhostTown1,GostTown1,
,ゴーストタウン2,GhostTown2,GostTown2,
,ダンジョン1,Dungeon1,Dungeon1,
,ダンジョン2,Dungeon2,Dungeon2,
,ダンジョン3,Dungeon3,Dungeon3,
,ダンジョン4,Dungeon4,Dungeon4,
,ダンジョン5,Dungeon5,Dungeon5,
,ピンチ,Crisis,Crisis,
,フィールド1,Field1,Field1,
,フィールド2,Field2,Field2,
,フィールド3,Field3,Field3,
,フィールド4,Field4,Field4,
,ボス1,Boss1,Boss1,
,ボス2,Boss2,Boss2,
,ボス3,Boss3,Boss3,
,ボス4,Boss4,Boss4,
,乗り物1,Vehicle1,Ride1,
,乗り物2,Vehicle2,Ride2,
,乗り物3,Vehicle3,Ride3,
,別れ1,Farewell1,Farewell1,
,別れ2,Farewell2,Farewell2,
,勇者1,Hero1,Hero1,
,勇者2,Hero2,Hero2,
,動物,Animal,Animal,
,勝利,Victory,Get,
,城1,Castle1,Castle1,
,城2,Castle2,Castle2,
,城3,Castle3,Castle3,
,塔1,Tower1,Tower1,
,塔2,Tower2,Tower2,
,塔3,Tower3,Tower3,
,妖精1,Fairy1,Fairy1,
,妖精2,Fairy2,Fairy2,
,安らぎ1,Peace1,Peace1,
,安らぎ2,Peace2,Peace2,
,安らぎ3,Peace3,Peace3,
,店1,Store1,Shop1,
,店2,Store2,Shop2,
,店3,Store3,Shop3,
,怒り,Anger,Anger,
,悲しみ,Sorrow,Sad,
,戦闘1,Battle1,Battle1,
,戦闘2,Battle2,Battle2,
,戦闘3,Battle3,Battle3,
,探索,Search,Search,
,敗北,Defeat,Lose,
,教会,Church,Church,
,明るい市場,Marketplace,Fiesta,
,村1,Village1,Village1,
,村2,Village2,Village2,
,村3,Village3,Village3,
,泥棒,Thief,Thief,
,活気,Energy,Energy,
,町1,Town1,Town1,
,町2,Town2,Town2,
,町3,Town3,Town3,
,神秘1,Mystery1,Mystery1,
,神秘2,Mystery2,Mystery2,
,神秘3,Mystery3,Mystery3,
,秘宝,Treasure,Treasure,
,船1,Ship1,Ship1,
,船2,Ship2,Ship2,
,船3,Ship3,Ship3,
,試練,Trial,Trial,
,闇市,BlackMarket,Dark,
,魔王,Devil,Devil,
,,,Dungeon6,
,,,Dungeon7,
,,,Farewell3,
,,,Farewell4,
,,,Inn3,
,,,Mystery4,
,,,Night,
,,,Pirate1,
,,,Pirate2,
,,,Pirate3,
,,,Pirate4,
,,,Ride4,
,,,Shop4,
,,,Snow,
,,,,Casino
,,,,Castle4
,,,,Castle5
,,,,Done
,,,,Fairy3
,,,,Friends1
,,,,Meanwhile1
,,,,Meanwhile2
,,,,Morning1
,,,,Shop5
,,,,Sorrow
,,,,Spirit
,,,,Town4
,,,,Town5
,,,,Village4
,,,,Village5
Panorama,夕焼け1,Sunset1,Dawn1,
,夕焼け2,Sunset2,Dawn2,
,夜明け1,Dawn1,Evening1,
,夜明け2,Dawn2,Evening2,
,夜空1,Night Sky1,Night1,
,夜空2,Night Sky2,Night2,
,宇宙,Cosmos1,Galaxy,
,惑星1,Planet1,Planet1,
,惑星2,Planet2,Planet2,
,惑星3,Planet3,Planet3,
,異空間,Dimension Rift,Weird,
,空1,Sky1,Morning1,
,空2,Sky2,Morning2,
,,,,Beach1
Picture,,,Cloud,
Sound,アイテム1,Item1,Item1,
,アイテム2,Item2,Item2,
,あたり1,Chime1,Success1,
,あたり2,Chime2,Success2,
,アップ,Buff,Up,
,イヌ,Dog,Dog,
,ウシ,Cow,Cow,
,ウマ,Horse,Horse,
,おたけび,Roar,Roar,
,カーソル1,Cursor1,Cursor1,
,カーソル2,Cursor2,Cursor2,
,ガシャン,GlassShatter,Glass,
,キャンセル1,Cancel1,Cansel1,
,キャンセル2,Cancel2,Cansel2,
,しびれ1,Paralyze1,Numbness1,
,しびれ2,Paralyze2,Numbness2,
,しびれ3,Paralyze3,Numbness3,
,ジャンプ1,Jump1,Jump1,
,ジャンプ2,Jump2,Jump2,
,ショット1,Shot1,Shot1,
,ショット2,Shot2,Shot2,
,ショット3,Shot3,Shot3,
,スイッチ1,Switch1,Switch1,
,スイッチ2,Switch2,Switch2,
,ダウン,Debuff,Down,
,ダメージ1,Damage1,Damage1,
,ダメージ2,Damage2,Damage2,
,テレポート1,Teleport1,Teleport1,
,テレポート2,Teleport2,Teleport2,
,トラ,Tiger,Tiger,
,にらみ,Glare,Power,
,にわとり,Chicken,Chicken,
,ネコ,Cat,Cat,
,ノック,Knock,Knock,
,はずれ1,Buzzer1,Failure1,
,はずれ2,Buzzer2,Failure2,
,バリア,Barrier,Barrier,
,ひつじ,Sheep,Sheep,
,ブザー1,Buzzer3,Buzzer1,
,ブザー2,Buzzer4,Buzzer2,
,フラッシュ1,Flash1,Flash1,
,フラッシュ2,Flash2,Flash2,
,フラッシュ3,Flash3,Flash3,
,ブレス,Breath,Breast,
,モンスター1,Monster1,Monster1,
,モンスター2,Monster2,Monster2,
,ライオン,Lion,Lion,
,冷気1,Ice1,Cold1,
,冷気2,Ice2,Cold2,
,冷気3,Ice3,Cold3,
,冷気4,Ice4,Cold4,
,冷気5,Ice5,Cold5,
,冷気6,Ice6,Cold6,
,冷気7,Ice7,Cold7,
,冷気8,Ice8,Cold8,
,冷気9,Ice9,Cold9,
,冷気10,Ice10,Cold10,
,冷気11,Ice11,Cold11,
,剣1,Sword1,Sword1,
,剣2,Sword2,Sword2,
,剣3,Sword3,Sword3,
,吸収1,Absorb1,Absorption1,
,吸収2,Absorb2,Absorption2,
,噛む,Bite,Bite,
,回復1,Recovery1,Recovery1,
,回復2,Recovery2,Recovery2,
,回復3,Recovery3,Recovery3,
,回復4,Recovery4,Recovery4,
,回復5,Recovery5,Recovery5,
,回復6,Recovery6,Recovery6,
,回復7,Recovery7,Recovery7,
,回復8,Recovery8,Recovery8,
,回避1,Evade1,Evasion1,
,回避2,Evade2,Evasion2,
,地震1,Earthquake1,Earthquake1,
,地震2,Earthquake2,Earthquake2,
,壁1,Barrier1,,
,壁2,Barrier2,,
,大地1,Earth1,Earth1,
,大地2,Earth2,Earth2,
,大地3,Earth3,Earth3,
,大地4,Earth4,Earth4,
,大地5,Earth5,Earth5,
,大地6,Earth6,Earth6,
,大地7,Earth7,Earth7,
,大地8,Earth8,Earth8,
,大地9,Earth9,Earth9,
,大地10,Earth10,Earth10,
,巻き付き,Ensnare,Refer Book,
,弓1,Bow1,Bow1,
,弓2,Bow2,Bow2,
,戦闘1,Combat1,Fight1,
,戦闘2,Combat2,Fight2,
,打撃1,Blow1,Blow1,
,打撃2,Blow2,Blow2,
,打撃3,Blow3,Blow3,
,打撃4,Blow4,Blow4,
,打撃5,Blow5,Blow5,
,打撃6,Blow6,Blow6,
,打撃7,Blow7,Blow7,
,攻撃1,Attack1,Attack1,
,攻撃2,Attack2,Attack2,
,斬る1,Slash1,Kill1,
,斬る2,Slash2,Kill2,
,斬る3,Slash3,Kill3,
,斬る4,Slash4,Kill4,
,斬る5,Slash5,Kill5,
,斬る6,Slash6,,
,斬る7,Slash7,Kill7,
,斬る8,Slash8,Kill8,
,斬る9,Slash9,Kill9,
,斬る10,Slash10,Kill10,
,斬る11,Slash11,Kill11,
,時計,Clock,Clock,
,暗闇,Blind,Darkness,
,暗黒1,Darkness1,Dark1,
,暗黒2,Darkness2,Dark2,
,暗黒3,Darkness3,Dark3,
,暗黒4,Darkness4,Dark4,
,暗黒5,Darkness5,Dark5,
,暗黒6,Darkness6,Kill6,
,歌,Song,Song,
,毒,Poison,Poison,
,水1,Water1,Water1,
,水2,Water2,Water2,
,水3,Water3,Water3,
,水4,Water4,Water4,
,水5,Water5,Water5,
,水6,Water6,Water6,
,決定1,Decision1,Decision1,
,決定2,Decision2,Decision2,
,沈黙,Silence,Silence,
,海1,Sea1,Sea1,
,海2,Sea2,Sea2,
,消滅1,Collapse1,Annihilation1,
,消滅2,Collapse2,Annihilation2,
,混乱,Confusion,Chaos,
,炎1,Fire1,Flame1,
,炎2,Fire2,Flame2,
,炎3,Fire3,Flame3,
,炎4,Fire4,Flame4,
,炎5,Fire5,Flame5,
,炎6,Fire6,Flame6,
,炎7,Fire7,Flame7,
,炎8,Fire8,Flame8,
,爆発1,Explosion1,Explosion1,
,爆発2,Explosion2,Explosion2,
,爆発3,Explosion3,Explosion3,
,爆発4,Explosion4,Explosion4,
,爆発5,Explosion5,Explosion5,
,爆発6,Explosion6,Explosion6,
,爆発7,Explosion7,Explosion7,
,睡眠,Sleep,Sleep,
,砂けむり,Sandstorm,Sand Storm,
,神聖1,Holy1,Holy1,
,神聖2,Holy2,Holy2,
,神聖3,Holy3,Holy3,
,神聖4,Holy4,Holy4,
,神聖5,Holy5,Holy5,
,神聖6,Holy6,Holy6,
,神聖7,Holy7,Holy7,
,神聖8,Holy8,Holy8,
,神聖9,Holy9,Holy9,
,移動,Move,Movement,
,花粉,Pollen,Pollen,
,落ちる1,Fall1,Fall1,
,落ちる2,Fall2,Fall2,
,蘇生1,Raise1,Rebirth1,
,蘇生2,Raise2,Rebirth2,
,蘇生3,Raise3,Rebirth3,
,逃走,Escape,Escape,
,鍵,Key,Key,
,鐘,Bell,Bell,
,閉める1,Close1,Close1,
,閉める2,Close2,Close2,
,開ける1,Open1,Open1,
,開ける2,Open2,Open2,
,雨1,Rain1,Rain1,
,雨2,Rain2,Rain2,
,雷1,Thunder1,Thunder1,
,雷2,Thunder2,Thunder2,
,雷3,Thunder3,Thunder3,
,雷4,Thunder4,Thunder4,
,雷5,Thunder5,Thunder5,
,雷6,Thunder6,Thunder6,
,雷7,Thunder7,Thunder7,
,雷8,Thunder8,Thunder8,
,雷9,Thunder9,Thunder9,
,雷10,Thunder10,Thunder10,
,霧1,Fog1,Fog1,
,霧2,Fog2,Fog2,
,音波1,Wave1,Sonic1,
,音波2,Wave2,Sonic2,
,風1,Wind1,Wind1,
,風2,Wind2,Wind2,
,風3,Wind3,Wind3,
,風4,Wind4,Wind4,
,風5,Wind5,Wind5,
,風6,Wind6,Wind6,
,風7,Wind7,Wind7,
,風8,Wind8,Wind8,
,風9,Wind9,Wind9,
,風10,Wind10,Wind10,
,風11,Wind11,Wind11,
,魔法1,Magic1,Wall1,
,魔法2,Magic2,Wall2,
,,,,anvil
,,,,camera
,,,,clap
,,,,comp
,,,,doorbell
,,,,drip
,,,,flush
,,,,glassbreak
,,,,gong
,,,,kiss
,,,,phone
,,,,pop
,,,,SNEEZING
,,,,snoring
,,,,ugh
,,,,whistle
System,システム,System,System,
,,,Royal,
,,,,blue
,,,,bof2sys
,,,,bubbles
,,,,don_system
,,,,ff2
,,,,ff3
,,,,incomsys
,,,,lightbluesystem
,,,,lines
,,,,lufia2
,,,,mint
,,,,ogre_battle
,,,,purple
,,,,red_future
,,,,redmenu3
,,,,sf2sys
,,,,shoddy
,,,,system01
,,,,system02
,,,,system03
,,,,windows01
,,,,windows02
Title,タイトル1,Title1,Title1,
,タイトル2,Title2,Title2,
,タイトル3,Title3,Title3,
,タイトル4,Title4,Title4,
