Asset Type,JP,EN,Advocate,Russian,Maker Universe,Korean,Traditional Chinese
Backdrop,お墓,graveyard,graveyard,Grave,grave,바닥,墳場
,お寺,temple1,shrine,Temple,temple,절,寺廟
,ダンジョン１,dungeon1,dungeon1,Cave,donjohn1,던젼１,迷宮1
,ダンジョン２,dungeon2,dungeon2,LavaCave,donjohnQ,던젼２,迷宮2
,ダンジョン３,dungeon3,dungeon3,IceCave,donjohnR,던젼３,迷宮3
,ダンジョン４,dungeon4,dungeon4,Stalagmites,donjohnS,던젼４,迷宮4
,ダンジョン５,dungeon5,dungeon5,Labyrinth,donjohnT,던젼５,迷宮5
,ダンジョン６,dungeon6,dungeon6,TrainingHall,donjohnU,던젼６,迷宮6
,宇宙,universe,space,Space,space,우주,宇宙
,山道,mountain road,mountain,Mountain,mountainpath,산길,山路
,岩場,rocky road,rockbed,Rocks,rocks,바위,岩壁
,廃墟,ruins1,wasteland,Ruins,wasteland,폐허,廢墟
,旧市街,old town,ghost-town,City,oldurban,구시가지,老街
,森１,forest1,forest1,Forest1,forestP,숲１,森林1
,森２,forest2,forest2,Forest2,forestQ,숲２,森林2
,橋,bridge,bridge,Bridge,bridge,다리,橋
,毒沼,swamp,swamp,Swamp,poisonswamp,독연못,毒沼
,洋館,mansion,building,InsideCastle,westernstylebuilding,양관(서양식집),洋館
,海,sea,ocean,Sea,sea,바다,海
,玉座,castle,castle,BallSeat,ballseat,옥좌,王位
,異空間,space,strange,SpaceLight,strangespacial,이공간,異次元空間
,砂浜,beach,beach,Beach,sandybeach,사구,淺灘
,砂漠,desert,desert,Desert,desert,사막,沙漠
,神殿,temple2,ruins1,Sanctuary,sanctuary,신전,神殿
,空,sky,sky,Clouds,empty,하늘,天空
,船上,ship,shipdeck,Ship,onboat,선상,船上
,草原,grassland,plains,Grass,grassyplain,초원,草原
,荒地,wasteland,barren,RoughForging,roughforging,황야,荒地
,街中,town,town,CityHouse,city,길가운데,街道
,路上,road,road,Road,road,도로 위,道路
,遺跡,ruins2,ruins2,InsidePyramid,ruins,유적,遺跡
,銭湯,bathhouse,bath,BathHouse,bathhouse,공중 목욕탕,澡堂
,闘技場,arena,arena,CompetitionPlace,competitionplace,투기장,競技場
,雪原,snow field,snowfield,Snow,snowfield,설원,雪原
Battle,2003その他1,2003 other1,misc1,2003-Other1,2003addition1,2003기타1,2003其他1
,2003その他2,2003 other2,misc2,2003-Other2,2003addition2,2003기타2,2003其他2
,2003バリア,2003 barrier,barrier1,2003-Barrier,2003barrier,2003베리어,2003護罩
,2003ブレス,2003 breath,breath1,2003-Poison,2003breath,2003브레스,2003氣息
,2003光柱,2003 light pillar,lightray,2003-Lines,2003luminouspillar,2003주위의 빛,2003光柱
,2003冷気,2003 cold,ice1,2003-Cold,2003coldair,2003냉기,2003冰
,2003剣,2003 sword,sword1,2003-Sword,2003sword,2003검,2003劍
,2003吸収,2003 absorb,absorb1,2003-Absorption,2003absorption,2003흡수,2003吸收
,2003回復,2003 recovery,healing1,2003-Sun,2003recovery,2003회복,2003回復
,2003大地,2003 earth,earth1,2003-Earth,2003ground,2003대지,2003大地
,2003弓,2003 bow,bow1,2003-Arrow,2003bow,2003화살,2003弓
,2003打撃,2003 blow,strike,2003-Hit,2003shock,2003타격,2003打擊
,2003斧,2003 axe,axe1,2003-Axe,2003ax,2003도끼,2003斧
,2003暗黒,2003 dark,dark1,2003-Dark,2003dark,2003암흑,2003暗黑
,2003槍,2003 spear,spear1,2003-Spear,2003spear,2003창,2003槍
,2003水,2003 water,water1,2003-Water,2003water,2003물,2003水
,2003治療,2003 cure,cure1,2003-Sphere,2003remedy,2003치료,2003治療
,2003炎,2003 fire,fire1,2003-Fire,2003flame,2003화염,2003炎
,2003爆発,2003 explosion,explode1,2003-Explosion,2003explosive,2003폭발,2003爆發
,2003爪,2003 claw,claw1,2003-Claws,2003nail,2003손톱,2003爪
,2003神聖,2003 holy,holy1,2003-Holy,2003holy,2003신성,2003神聖
,2003蘇生,2003 revive,revive1,2003-Angel,2003revival,2003소생,2003復活
,2003雷,2003 thunder,bolt1,2003-Zip,2003thunder,2003전격,2003雷
,2003鞭,2003 whip,whip1,2003-Whip,2003rod,2003채찍,2003鞭
,2003風,2003 wind,wind1,2003-Wind,2003wind,2003바람,2003風
,2003麻痺,2003 Paralysis,paralyze1,2003-Paralysis,2003paralysis,2003마비,2003麻痺
,その他,other,misc3,,addition,기타,其他
,バリア,barrier,barrier2,,barrier,배리어,護罩
,ブレス,breath,breath2,,breath,호흡,氣息
,上昇,buff,increase,,rise,상승,上昇
,下降,debuff,decrease,,drop,하강,下降
,冷気,ice,ice2,,coldair,냉기,冰
,剣1,sword1,sword2,,sword1,검1,劍1
,剣2,sword2,sword3,,sword2,검2,劍2
,吸収,bite,absorb2,,absorption,흡수,吸收
,回復,recovery,healing2,,recovery,회복,回復
,大地,earth,earth2,,ground,대지,大地
,打撃,blow,attack,,shock,타격,打擊
,斧,axe,axe2,,ax,도끼,斧
,暗黒,dark,dark2,,dark,암흑,暗黑
,槍,spear,spear2,,spear,창,槍
,水,water,water2,,water,물,水
,治療,treatment,cure2,,remedy,치료,治療
,炎1,fire1,fire2,,flame1,화염1,炎1
,炎2,fire2,fire3,,flame2,화염2,炎2
,爆発,explosion,explode2,,explosive,폭발,爆發
,爪,claw,claw2,,nail,손톱,爪
,矢,arrow,bow2,,bow,화살,箭
,神聖,holy,holy2,,holy,신성,神聖
,蘇生,ressurection,revive2,,revivial,소생,復活
,雷,thunder,bolt2,,thunder,전격,雷
,鞭,whip,whip2,,rod,채찍,鞭
,風,wind,wind2,,wind,바람,風
,麻痺,paralysis,paralyze2,,paralysis,마비,麻痺
BattleCharSet,エルフ女a,female elf a,elf-f-1,TuanaA,elfwomana,엘프女 a,妖精女a
,エルフ女b,female elf b,elf-f-2,TuanaB,elfwomanb,엘프女 b,妖精女b
,エルフ男a,male elf a,elf-m-1,TemmadA,elfmana,엘프男 a,妖精男a
,エルフ男b,male elf b,elf-m-2,TemmadB,elfmanb,엘프男 b,妖精男b
,中華女a,chinese woman a,chinese-f-1,ChuzaA,chinesewomana,중화女a,中華女a
,中華女b,chinese woman b,chinese-f-2,ChuzaB,chinesewomanb,중화女b,中華女b
,中華男a,chinese man a,chinese-m-1,ChingA,chinesemana,중화男a,中華男a
,中華男b,chinese man b,chinese-m-2,ChingB,chinesemanb,중화男b,中華男b
,侍a,samurai a,samurai1,GarreA,samuraia,사무라이a,武士a
,侍b,samurai b,samurai2,GarreB,samuraib,사무라이b,武士b
,僧侶女a,female monk a,priestess1,KloriA,monkwomana,승려女a,僧侶女a
,僧侶女b,female monk b,priestess2,KloriB,monkwomanb,승려女b,僧侶女b
,僧侶男a,male monk a,priest1,SiossA,monkmana,승려男a,僧侶男a
,僧侶男b,male monk b,priest2,SiossB,monkmanb,승려男b,僧侶男b
,勇者女a,female hero a,hero-f-1,NoddaA,herowomana,용자女a,勇者女a
,勇者女b,female hero b,hero-f-2,NoddaB,herowomanb,용자女b,勇者女b
,勇者男a,male hero a,hero-m-1,JemmonA,heromana,용자男a,勇者男a
,勇者男b,male hero b,hero-m-2,JemmonB,heromanb,용자男b,勇者男b
,女性１a,woman1 a,woman1-1,CletoA,womanéPa,여성１a,女性1a
,女性１b,woman1 b,woman1-2,CletoB,womanéPb,여성１b,女性1b
,女性２a,woman2 a,woman2-1,JikuaA,womanéQa,여성２a,女性2a
,女性２b,woman2 b,woman2-2,JikuaB,womanéQb,여성２b,女性2b
,女性３a,woman3 a,woman3-1,IrregiaA,womanéRa,여성３a,女性3a
,女性３b,woman3 b,woman3-2,IrregiaB,womanéRb,여성３b,女性3b
,女性４a,woman4 a,woman4-1,NysmaA,womanéSa,여성４a,女性4a
,女性４b,woman4 b,woman4-2,NysmaB,womanéSb,여성４b,女性4b
,女性５a,woman5 a,woman5-1,BeruaA,womanéTa,여성５a,女性5a
,女性５b,woman5 b,woman5-2,BeruaB,womanéTb,여성５b,女性5b
,忍者女a,female ninja a,ninja-f-1,GinnyA,ninjawomana,닌자女a,忍者女a
,忍者女b,female ninja b,ninja-f-2,GinnyB,ninjawomanb,닌자女b,忍者女b
,忍者男a,male ninja a,ninja-m-1,XeodA,ninjamana,닌자男a,忍者男a
,忍者男b,male ninja b,ninja-m-2,XeodB,ninjamanb,닌자男b,忍者男b
,戦士女a,female warrior a,soldier-f-1,EljeaA,soldierwomana,전사女a,戰士女a
,戦士女b,female warrior b,soldier-f-2,EljeaB,soldierwomanb,전사女b,戰士女b
,戦士男a,male warrior a,soldier-m-1,RagleA,soldiermana,전사男a,戰士男a
,戦士男b,male warrior b,solider-m-2,RagleB,soldiermanb,전사男b,戰士男b
,格闘家女a,female fighter a,monk-f-1,PhesaA,grapplehousewomana,격투가女a,格鬥家女a
,格闘家女b,female fighter b,monk-f-2,PhesaB,grapplehousewomanb,격투가女b,格鬥家女b
,格闘家男a,male fighter a,monk-m-1,RasnenA,grapplehousemana,격투가男a,格鬥家男a
,格闘家男b,male fighter b,monk-m-2,RasnenB,grapplehousemanb,격투가男b,格鬥家男b
,海賊女a,female pirate a,pirate-f-1,RennaA,piratewomana,해적女a,海賊女a
,海賊女b,female pirate b,pirate-f-2,RennaB,piratewomanb,해적女b,海賊女b
,海賊男a,male pirate a,pirate-m-1,GoxanA,piratemana,해적男a,海賊男a
,海賊男b,male pirate b,pirate-m-2,GoxanB,pirateb,해적男b,海賊男b
,男性１a,man1 a,man1-1,JidadA,manéPa,남성１a,男性1a
,男性１b,man1 b,man1-2,JidadB,manéPb,남성１b,男性1b
,男性２a,man2 a,man2-1,MjittA,manéQa,남성２a,男性2a
,男性２b,man2 b,man2-2,MjittB,manéQb,남성２b,男性2b
,男性３a,man3 a,man3-1,ChuazA,manéRa,남성３a,男性3a
,男性３b,man3 b,man3-2,ChuazB,manéRb,남성３b,男性3b
,男性４a,man4 a,man4-1,ShellA,manéSa,남성４a,男性4a
,男性４b,man4 b,man4-2,ShellB,manéSb,남성４b,男性4b
,男性５a,man5 a,man5-1,FrossA,manéTa,남성５a,男性5a
,男性５b,man5 b,man5-2,FrossB,manéTb,남성５b,男性5b
,盗賊女a,female bandit a,thief-f-1,OtipaA,thiefwomana,도적女a,盜賊女a
,盗賊女b,female bandit b,thief-f-2,OtipaB,thiefwomanb,도적女b,盜賊女b
,盗賊男a,male bandit a,thief-m-1,UnnonA,thiefmana,도적男a,盜賊男a
,盗賊男b,male bandit b,thief-m-2,UnnonB,thiefmanb,도적男b,盜賊男b
,鎧武者a,armored warror a,armor1,JoegoA,armourwarriora,갑옷무사a,鎧甲武者a
,鎧武者b,armored warror b,armor2,JoegoB,armourwarriorb,갑옷무사b,鎧甲武者b
,魔術師女a,female mage a,mage-f-1,LjitiA,magicteacherwomana,마술사女a,魔術師女a
,魔術師女b,female mage b,mage-f-2,LjitiB,magicteacherwomanb,마술사女b,魔術師女b
,魔術師男a,male mage a,mage-m-1,RivraA,magicteachermana,마술사男a,魔術師男a
,魔術師男b,male mage b,mage-m-2,RivraB,magicteachermanb,마술사男b,魔術師男b
BattleWeapon,武器,weapon,weapons,Standart,weapon,무기,武器
CharSet,オブジェクト1,object1,object1,Objects1,object1,오브젝트1,物件1
,オブジェクト2,object2,object2,Objects2,object2,오브젝트2,物件2
,モンスター1,monster1,monster1,Monsters1,monster1,몬스터1,怪物1
,モンスター2,monster2,monster2,Monsters2,monster2,몬스터2,怪物2
,一般1,people1,char1,People1,general1,일반1,一般1
,一般2,people2,char2,People2,general2,일반2,一般2
,一般3,people3,char3,People3,general3,일반3,一般3
,一般4,people4,char4,People4,general4,일반4,一般4
,一般5,people5,char5,People5,general5,일반5,一般5
,主人公1,actor1,hero1,Chara1,protagonist1,주인공1,主角1
,主人公2,actor2,hero2,Chara2,protagonist2,주인공2,主角2
,主人公3,actor3,hero3,Chara3,protagonist3,주인공3,主角3
,主人公4,actor4,hero4,Chara4,protagonist4,주인공4,主角4
,乗り物,vehicles,vehicle,Vehicles,vehicle,탈것,交通工具
,動物,animal,animal,Animals,animal,동물,動物
ChipSet,ダンジョン,dungeon,dungeon,Internal1,donjohn,던젼,迷宮
,内装,interior,building,Internal2,interior,내부,內部
,基本,world,main,World,basic,기본,基本
,外観,exterior,town,Village,appearance,외견,外部
,船,ship,ship,Ship,boat,배,船
FaceSet,モンスター,monster,monster,Monsters,monster,몬스터,怪物
,一般1,people1,faces1,People,general1,일반1,一般1
,一般2,people2,faces2,PeopleAnimal,general2,일반2,一般2
,主人公1,actor1,hero1,Face1,Protagonist1,주인공1,主角1
,主人公2,actor2,hero2,Face2,Protagonist2,주인공2,主角2
GameOver,ゲームオーバー,game over,gameover,GameOver,gameover,게임오버,遊戲結束
,,,,,,,遊戲結束2
Monster,アーリマン,ahriman,ariman,MaliciousFlower,Ahriman,아리맨,阿利曼
,アスラ,asura,asura,WeaponMaster,MultiArmDemon,아수라,阿蘇拉
,アナコンダ,anaconda,anaconda,Snake,anaconda,아나콘다,巨蟒
,アリゲーター,alligator,alligator,Crocodile,alligator,엘리게이터,短吻鱷
,アンデッドナイト,undead knight,u-knight,DeadPirate,PimpSkeleton,언데드 나이트,不死騎士
,イフリート,ifreet,efreet,Efrit,Ifrit,이프리트,伊弗利特
,インプ,imp,imp,Features,LittleDemon,임프,小魔鬼
,ヴァンパイア,vampire,vampire,Vampire,vampire,뱀파이어,吸血鬼
,ウロボロス,ouroboros,oroboros,Levitan,dragon,우로보로스,吞尾蛇
,エルフ,elf,elf,Archer,elf,엘프,妖精
,オーガ,ogre,ogre,PrimitiveMan,auger,오거,食人魔
,オーク,orc,orc,PigSoldier,ork,오크,獸人戰士
,オーディン,odin,odin,DangerousSoldier,odin,오딘,奧丁
,オクトパス,octopus,octopus,Octopus,octopus,옥토퍼스,八爪章魚
,ガーゴイル,gargoyle,gargoyle,Gargoyle,gargoyle,가고일,石像獸
,カーバンクル,carbuncle,carbuncle,RubyFox,carbunkle,카방클,紅寶石
,カーミラ,carmilla,cojurer,MurdererWoman,carmira,카미라,卡美拉
,カッパ,kappa,kappa,Morloc,raincoat,카트바,河童
,カトブレパス,catoblepas,catoblepas,CurveBull,DemonHorseThing,카토부레바트,卡托布里帕斯
,ガルーダ,garuda,garuda,FlyingWarrior,garuda,가루다,揭路荼
,キメラ,chimera,chimera,Chimera,chimera,키메라,吐火獸
,グール,ghoul,ghoul,Zombie,ghoul,구울,食屍鬼
,クラーケン,kraken,kraken,SeaBowl,SeaMonster,크라켄,克拉坎
,クラブ,crab,cancer,Crab,crab,크랩,巨蟹
,グリフォン,griffon,griffon,Griphon,griffin,그리폰,葛里芬
,グレル,grell,grell,Robot,jellyfish,구렐,毛面蟲
,クロウラー,crawler,crawler,Worm,crowera,쿠로우라,爬蟲
,ゲイザー,gazer,deathgaze,Eye,EyeStalk,게이져,看守者
,ケツアルクアトル,quetzalcoatl,quezal,FlyingWorm,BirdSnake,케이시아르크 아토르,羽蛇神
,ケットシー,cait sith,caitsith,Eremite,ketsea,캐트시,貓靈
,ケルベロス,cerberus,cerberus,Cerberus,cerebus,켈베로스,地獄犬
,ケンタウロス,centaur,centaur,Centaur,centaur,켄타우르스,半人馬
,ゴーゴン,gorgon,gorgon,InfernalBull,bull,고곤,戈耳戈
,ゴースト,ghost,ghost,WitchPhantom,ghost,고스트,鬼魂
,ゴーレム,golem,golem,Golem,golem,골렘,高崙
,コカトリス,cockatorice,cockatrice,Rooster,cockatrice,코카트리스,雞蛇獸
,ゴブリン,goblin,goblin,LittleDemon,imp,고블린,小妖精
,コボルト,kobold,kobold,Wolf,kobold,코볼트,地精
,サイクロプス,cyclops,cyclops,Cyclops,giant,사이클롭스,獨眼巨人
,サタナエル,satan,satan,DarkAngel,darkangel,사타나엘,撒旦尼爾
,サハギン,sahagin,sahagin,Triton,merman,사하킨,半魚人撒哈奇
,サラマンダー,salamander,salamander,BurningLizard,salamander,사라멘더,火蜥蜴
,シャーク,shark,shark,Shark,shark,샤크,鯊魚
,ジャイアント,giant,giant,Cannibal,giant-2,자이언트,巨人
,ジャック・オー・ランタン,jack-o-lantern,jack,Pumpkin,JackOLantern,잭-오-랜턴,燈籠怪
,シャドウ,shadow,shadow,LostShadow,shadow,셰도우,幻影
,シルフ,sylph,sylph,Fairy,fairy,실프,風之精靈－絲芙
,スキュラ,scylla,scylla,Medusa,gorgon,스쿨라,斯庫拉
,スケルトン,skeleton,skeleton,Skeleton,skeleton,스켈톤,骷髏
,スコーピオン,scorpion,scorpion,Cancer,scorpion,스콜피온,天蠍
,スネーク,snake,snake,DangerousSnake,snake,스테이크,蛇
,スピリッツ,spirit,spirit,LaughingSpirit,spirit,스피릿츠,靈魂
,スフィンクス,sphinx,sphinx,Sphynx,sphinx,스핑크스,斯芬克司
,スペクター,spectre,specter,MagicSkull,lostsoul,스펙터,幽靈
,スライム,slime,slime,Slime,slime,슬라임,史萊姆
,セイレーン,siren,siren,FlyingMermaid,MerAngel,세이렌,賽倫女妖
,セラフィム,seraphim,seraph,Sephiroth,Angel,세라핌,撒拉弗
,センチピード,centipede,centipede,Multileg,catterpillar,센티피드,百腳蜈蚣
,ソーサラー,sorcerer,sorcerer,Magician,wizard,소서러,巫師
,ゾンビ,zombie,zombie,PoisonZombie,zombie,좀비,殭屍
,ダークエルフ,dark elf,darkelf,Fencer,darkelf,다크 엘프,黑暗妖精
,ダークナイト,dark knight,darkknight,Knight,darkknight,다크 나이트,暗黑騎士
,タイタン,titan,titan,Titan,titan,타이탄,泰坦巨人
,タランチュラ,tarantula,spider,Spider,spider,타란튤라,狼蛛
,ティアマット,tiamat,tiamat,Many-domedDragon,tiamat,데어 매트,塔亞瑪特邪龍
,デーモン,demon,demon,HornGoat,daemon,데몬,惡魔
,トード,toad,toad,Toad,frog,토드,蟾蜍
,ドラゴン,dragon,dragon,BlueDragon,dragon-2,드래곤,龍
,ドラゴンナイト,dragon knight,dragonknight,DragonWarrior,dragonknight,드래곤 나이트,龍騎士
,トレント,treant,treant,Dendrid,tree,트렌트,樹精
,トロール,troll,troll,Orc,troll,트롤,山怪
,ネクロマンサー,necromancer,necromancer,Necromant,necromancer,네크로맨서,死靈法師
,ネペンテス,nepenthes,nepenthe,MultirootFlower,killerplant,네벤테스,豬籠草怪
,バーサーカー,berserker,berserker,Barbarian,barbarian,버저커,狂暴戰士
,ハーピー,harpy,harpy,Harpy,harpy,하피,鳥人哈比
,バジリスク,basilisk,basilisk,Horned,earwig,바실리크스,蛇怪
,バット,bat,bat,Bat,bat,배트,蝙蝠
,バハムート,bahamut,bahamut,Dragon,lizarddemon,바하무트,巴哈姆特
,パラサイト,parasite,parasite,All-knowing,parasite,페러사이트,寄生蟲
,ビッグフット,big foot,bigfoot,Yeti,yeti,빅풋,大腳怪
,ヒュドラ,hydra,hydra,Many-domedUglyCreature,hydra,히드라,九頭蛇
,フェニックス,phoenix,phoenix,Phoenix,phoenix,피닉스,鳳凰鳥
,フェンリル,fenrir,fenrir,RealWolf,wolf,펜릴,大天狼
,ベヒーモス,behemoth,behemoth,InfernalDog,behemoth,배히모스,巨獸
,ホーネット,hornet,hornet,Bee,bea,호넷,大黃蜂
,マンティコア,manticore,manticore,CrossedBeast,monster,만티코어,蒙特寇爾
,マンティス,mantis,mantis,Insect,preyingmantis,만티스,螳螂怪
,マンモス,mammoth,mammoth,Mamont,mammoth,맘모스,長毛象
,ミイラ男,mummy,mummy,Mummy,mummy,미이라 男,木乃伊
,ミドガルズオルム,midgardsormr,midgard-serp,CreepingCreature,monster-2,미드갈즈 오르무,米嘉巨蟒
,ミノタウロス,minotaur,minotaur,Minotaur,minotaur,미노타우르스,邁諾陶
,ミミック,mimic,mimic,OgreChest,mimic,미믹,變形怪
,メデューサ,medusa,medusa,HyperMedusa,medusa,메두사,梅杜莎
,ユニコーン,unicorn,unicorn,Unicorn,unicorn,유니콘,獨角獸
,ラクシュミ,lakshmi,rakashimi,Prophet,mystic,라쿠슈미,吉祥天
,ラミア,lamia,lamia,Mermaid,gorgon-2,라미아,拉米亞
,リヴァイアサン,leviathan,leviathan,LevitanWithAHorn,leviathan,리바이어던,大海獸
,リザード,lizard,lizard,MonitorLizard,lizard,리자드,蜥蜴
,リザードマン,lizardman,lizardman,LizardSoldier,lizardman,리자드맨,蜥蜴人
,リッチ,lich,lich,PowerfulNecromant,lich,리치,妖巫
,リリス,lilith,lillith,MultihandsWarrior,lilith,리리스,莉莉斯
,レイス,wraith,wraith,Phantom,spectre,레이스,死靈
,レモラ,remora,remora,SharpFish,flyingfish,레모라,怪魚雷莫拉
,ワーウルフ,werewolf,werewolf,Werwolf,werewolf,워울프,狼人
,ワーム,worm,worm,ToothWorm,worm,웜,蟲
,ワイト,wight,wight,SeizedSoldier,yto,와이트,屍妖
,ワイバーン,wyvern,wyvern,BrownDragon,yburning,와이번,飛龍
,九尾の狐,kyuubi,ninetail,MagicFox,foxofninetails,구미호,九尾狐狸
,朱雀,suzaku,redsparrow,VainBird,redsparrow,주작,朱雀
,玄武,genbu,blackturtle,TurtleSnake,monster-3,현무,玄武
,白虎,byakko,whitetiger,PolarTiger,whitetiger,백호,白虎
,馬,horse,nightmare,DarkHorse,horse,말,馬
,鬼,oni,oni,Ogre,ogre,도깨비(鬼),惡鬼
,麒麟,kirin,ki-rin,FairyTaleHorse,giraffe,기린,麒麟
,龍,ryuu,bluedragon,LongDragon,bluedragon,청룡,青龍
Music,2003いやしの泉,2003healing spring,spring,2003Happiness,2003spring,2003회복의 샘,2003治癒之泉
,2003カジノ三昧,2003casino indulgence,casino,2003Research,2003casino,2003카지노,2003賭場
,2003コロシアム,2003colosseum,arena,2003Piracy,2003colloseum,2003콜로세움,2003競技場
,2003サイバーシティ,2003cyber city,bustling-city,2003JoyfulNews,2003rhinobarcity,2003사이버 시티,2003異次元城市
,2003スノータウン,2003snow town,snowtown,2003Lullaby,2003snowtown,2003스노우 타운,2003下雪的城鎮
,2003パニック,2003panic,panic,2003Warning,2003panic,2003패닉,2003恐慌
,2003マキシマム・バトル,2003maximum battle,fierce-battle,2003Pursuit,2003maximumsbattle,2003맥시멈·전투,2003極限戰鬥
,2003一獲千金の夢,2003dream of striking it rich,jackpot,2003SilentPleasure,2003dream-catchlotsofmoney,2003일획천금의 꿈,2003一獲千金之夢
,2003冒険者たち,2003adventurers,adventure,2003Farewell,2003venturepeople,2003여행자 서고,2003冒險者們
,2003勇者の凱旋,2003hero's return,triumph,2003BigPalace,2003triumphalreturn,2003용사의 개선,2003勇者的凱旋
,2003古城,2003ancient city,ancient-castle,2003Glory,2003oldcastle,2003고성,2003古城
,2003地下迷宮,2003subterranean maze,labyrinth,2003Fast,2003undergroundlabyrinth,2003지하미궁,2003地下迷宮
